,Time,LBA,PBA,Ops,Zone-idx,WA_1,WA_2
332,363.282529,7423,13807,w,0,13343,14367.
333,363.282715,30239,54863,w,0,54380,55404.
334,363.282896,51415,33807,w,0,-1,-1
335,363.282941,1141,2509,w,0,2052,3076.
336,363.283153,31072,56152,w,0,55617,56641.
337,363.283346,26230,47662,w,0,47185,48209.
338,363.283531,48660,27076,w,0,-1,-1
339,363.283576,35482,64210,w,0,63701,64725.
340,363.283761,15372,28140,w,0,27676,28700.
341,363.283948,61388,55708,w,0,-1,-1
342,363.283992,61351,55671,w,0,-1,-1
343,363.284036,35481,64209,w,0,63700,64724.
344,363.284227,10830,19950,w,0,19486,20510.
345,363.284419,11675,21251,w,0,20732,21756.
346,363.284603,43064,14664,w,0,-1,-1
347,363.284650,60275,53459,w,0,-1,-1
348,363.284702,2933,5669,w,0,5194,6218.
349,363.284888,32061,58053,w,0,57547,58571.
350,363.285079,4066,7714,w,0,7240,8264.
351,363.285271,45910,20918,w,0,-1,-1
352,363.285304,46026,21602,w,0,-1,-1
353,363.285347,40967,10295,w,0,-1,-1
354,363.285380,25162,45682,w,0,45192,46216.
355,363.285571,64596,62892,w,0,-1,-1
356,363.285615,6854,12782,w,0,12318,13342.
357,363.285799,54971,41339,w,0,-1,-1
358,363.285851,8586,15882,w,0,15412,16436.
359,363.286048,22981,41677,w,0,41169,42193.
360,363.286265,26094,47070,w,0,46508,47532.
361,363.286458,61268,55588,w,0,-1,-1
362,363.286499,32893,59341,w,0,58783,59807.
363,363.286680,13299,24243,w,0,23740,24764.
364,363.286860,27773,50117,w,0,49560,50584.
365,363.287042,42514,13546,w,0,-1,-1
366,363.287077,22974,41670,w,0,41163,42187.
367,363.287258,52021,34981,w,0,-1,-1
368,363.287291,1533,2901,w,0,2366,3390.
369,363.287470,32059,58051,w,0,57545,58569.
370,363.287651,39506,6562,w,0,-1,-1
371,363.287684,42405,13437,w,0,-1,-1
372,363.287726,24993,45513,w,0,45056,46080.
373,363.287908,11982,22014,w,0,21547,22571.
374,363.289370,41738,11634,w,0,-1,-1
375,363.289403,5388,9948,w,0,9437,10461.
376,363.289583,30099,54267,w,0,53699,54723.
377,363.289765,24504,44568,w,0,44096,45120.
378,363.289947,9018,16314,w,0,15759,16783.
379,363.290161,54491,40291,w,0,-1,-1
380,363.290216,38750,5238,w,0,-1,-1
381,363.290252,15834,28602,w,0,28047,29071.
382,363.290504,28245,51045,w,0,50507,51531.
383,363.290688,290,746,w,0,232,1256.
384,363.290872,61119,55439,w,0,-1,-1
385,363.290916,32341,58333,w,0,57771,58795.
386,363.291129,11290,20410,w,0,19855,20879.
387,363.291324,45896,20904,w,0,-1,-1
388,363.291360,9067,16363,w,0,15799,16823.
389,363.291555,13140,24084,w,0,23613,24637.
390,363.291751,2249,4073,w,0,3509,4533.
391,363.291936,4679,8783,w,0,8300,9324.
392,363.292121,30630,55254,w,0,54694,55718.
393,363.292314,38219,4139,w,0,-1,-1
394,363.292349,8706,16002,w,0,15509,16533.
395,363.292532,7619,14003,w,0,13500,14524.
396,363.292716,64171,62467,w,0,-1,-1
397,363.292770,26522,47954,w,0,47420,48444.
398,363.292954,9778,17986,w,0,17505,18529.
399,363.293144,1914,3738,w,0,3240,4264.
400,363.293336,15425,28193,w,0,27719,28743.
401,363.293520,40330,8522,w,0,-1,-1
402,363.293573,39314,6370,w,0,-1,-1
403,363.293620,32284,58276,w,0,57726,58750.
404,363.293804,63083,59675,w,0,-1,-1
405,363.293856,20892,37764,w,0,37220,38244.
406,363.294039,31527,57063,w,0,56550,57574.
407,363.294260,5489,10049,w,0,9518,10542.
408,363.294446,38158,3510,w,0,-1,-1
409,363.294479,19475,35435,w,0,34946,35970.
410,363.294664,60727,54479,w,0,-1,-1
411,363.294717,35915,65099,w,0,64617,-1.
412,363.294833,51631,34023,w,0,-1,-1
413,363.294866,40399,8591,w,0,-1,-1
414,363.294906,2017,3841,w,0,3323,4347.
415,363.295088,10636,19300,w,0,18762,19786.
416,363.295270,28062,50862,w,0,50360,51384.
417,363.295451,46471,22615,w,0,-1,-1
418,363.295483,41402,11298,w,0,-1,-1
419,363.295524,25693,46669,w,0,46186,47210.
420,363.295703,44930,18802,w,0,-1,-1
421,363.295736,29437,53149,w,0,52600,53624.
422,363.295916,38924,5412,w,0,-1,-1
423,363.295949,5596,10156,w,0,9604,10628.
424,363.296137,10761,19425,w,0,18863,19887.
425,363.296317,53537,38201,w,0,-1,-1
426,363.296349,57294,46502,w,0,-1,-1
427,363.296391,46598,22742,w,0,-1,-1
428,363.296424,56466,45106,w,0,-1,-1
429,363.296466,50734,31990,w,0,-1,-1
430,363.296499,58180,48524,w,0,-1,-1
431,363.296541,30874,55954,w,0,55458,56482.
432,363.296723,18089,32681,w,0,32130,33154.
433,363.296904,47851,25699,w,0,-1,-1
434,363.296937,11027,20147,w,0,19644,20668.
435,363.297118,10152,18360,w,0,17806,18830.
436,363.297300,47089,23801,w,0,-1,-1
437,363.297332,4682,8786,w,0,8302,9326.
438,363.297513,58892,50372,w,0,-1,-1
439,363.297545,44746,18618,w,0,-1,-1
440,363.297587,32487,58935,w,0,58457,59481.
441,363.297768,24791,44855,w,0,44326,45350.
442,363.297949,6408,11880,w,0,11392,12416.
443,363.298177,1491,2859,w,0,2333,3357.
444,363.298368,15182,27494,w,0,26956,27980.
445,363.298550,55377,42313,w,0,-1,-1
446,363.298602,22318,40558,w,0,40069,41093.
447,363.298785,14309,26165,w,0,25687,26711.
448,363.298976,39909,7533,w,0,-1,-1
449,363.299008,65345,64777,w,0,-1,-1
450,363.299052,23514,42666,w,0,42165,43189.
451,363.299241,12637,23125,w,0,22641,23665.
452,363.299431,31407,56943,w,0,56454,57478.
453,363.299615,33306,60210,w,0,59682,60706.
454,363.299806,30833,55913,w,0,55425,56449.
455,363.299991,49187,28739,w,0,-1,-1
456,363.300024,37519,2303,w,0,-1,-1
